length: 2.0,length: 3.0,length: 4.0,length: 5.0,length: 6.0,length: 7.0,length: 8.0,length: 9.0,length: 10.0,length: 11.0
0,0,6,47,80,4043,5086,5059,5101,5238
0,0,6,18,268,5078,5125,5054,5137,5051
0,0,3,5,154,5074,5095,5036,5108,5115
1,0,9,6,40,5087,5109,5065,5104,5220
0,0,4,5,154,5059,5150,5040,5113,5104
0,1,1,3,43,2731,5216,5041,5108,5083
0,1,3,4,200,4763,5177,5042,5163,5227
1,1,1,9,80,3438,5217,5062,5110,5216
0,0,2,11,95,2824,5101,5062,5142,5139
0,0,2,1,93,5064,5203,5039,5067,4148
1,0,2,3,107,5080,5142,5032,5036,5144
1,1,7,2,375,2932,5143,5042,5107,5182
0,1,6,2,52,5068,5150,5064,5087,4560
0,1,6,51,136,5105,4639,5047,5076,5174
1,1,5,3,54,5052,5084,5069,5135,5147
0,0,2,1,290,5115,5126,5073,5069,5108
0,1,4,3,83,5126,4190,5049,5108,5074
0,0,4,1,582,4088,5166,5055,5105,5148
0,1,4,8,75,5079,5148,5051,5060,5113
0,0,2,4,391,2649,5171,5061,5119,5197
0,0,1,5,391,2629,5442,5053,5144,5158
0,0,2,1,111,5076,5216,5055,5120,5133
0,1,2,6,85,4803,5184,5074,5079,5229
1,1,2,3,86,5055,5162,5049,5071,5095
0,1,2,10,98,5158,5052,5060,5117,5139
0,0,2,3,576,2879,5093,5059,5079,5110
0,1,2,1,56,5094,5106,5059,5126,5085
0,1,2,9,120,5080,5119,5039,5118,5181
0,1,1,1,121,5086,5156,5061,5083,5180
0,1,0,9,119,2916,5142,5067,5123,5152
0,0,1,3,60,2864,4079,5093,5096,5141
0,1,2,8,399,5063,5197,5027,5100,5140
0,1,1,1,150,1777,5087,5065,5108,4454
0,0,2,3,33,5108,5156,5050,5072,5112
0,0,3,3,151,5084,5154,5078,5131,5131
0,1,2,4,196,5057,5262,5069,5132,5172
0,1,2,2,445,2440,5072,5057,5105,5221
0,1,2,3,103,5077,4856,4836,5150,5224
0,1,1,11,81,4663,5170,5054,5120,5121
0,0,1,1,124,1776,5096,5031,5103,5163
0,1,1,4,111,1944,5124,5052,5066,5139
0,1,2,6,375,3401,5123,5053,5128,5166
0,0,2,9,96,5054,5166,5048,5096,5209
0,0,1,3,96,4632,5201,5064,5119,5140
0,1,2,7,122,5075,5058,5095,5090,5073
0,1,1,1,113,3052,4173,5073,5161,5174
0,1,3,3,147,5064,5054,5070,5089,5198
0,1,1,3,76,4787,5099,5087,5113,5157
0,0,1,5,274,5116,5099,5067,5103,5135
0,0,1,7,164,2908,5106,5066,5145,5155
0,1,0,11,374,5055,5134,5076,5079,5156
0,1,3,3,378,5056,5166,5070,5090,5148
0,1,2,6,145,3399,5201,5070,5081,5119
0,0,2,2,150,3000,5134,5066,5098,4428
0,1,1,3,87,5102,5150,5078,5134,5157
1,0,1,10,91,5108,5057,5081,5112,5185
1,0,2,8,150,5094,5070,5035,5098,5218
0,0,1,4,123,5102,5074,5030,5123,5080
0,0,2,8,47,5084,5099,5033,5096,5192
0,0,1,3,122,5052,4253,5070,5080,5064
0,0,2,8,54,5060,5127,5106,5131,5133
0,0,1,1,403,3219,5196,5046,5091,5108
0,0,1,2,34,2837,5164,5043,5118,5158
0,0,1,12,138,5089,5193,5088,5056,5146
1,0,0,3,336,3379,5193,5067,5105,5156
0,1,1,1,55,1755,4412,5075,5149,5154
0,0,2,5,206,3051,5152,5047,5103,5259
0,0,3,2,115,5077,4110,5053,5072,5120
0,0,2,2,144,5077,5054,5074,5089,5112
0,1,1,1,432,3332,5066,5087,5113,5186
0,0,2,2,124,4479,5146,5073,5094,5187
0,0,1,3,202,5091,5077,5079,5113,5184
0,1,0,9,431,5084,5142,5060,5125,0
0,1,1,3,46,5065,5089,5076,5122,5151
0,1,2,1,152,2771,5125,5063,5122,5118
0,1,1,8,52,5098,4565,5031,5066,5158
0,0,1,29,436,5050,5188,5066,5112,5179
0,0,1,1,414,3113,5109,5034,5087,5168
0,1,1,3,98,5076,5218,5077,5121,5153
0,0,0,2,96,2609,5036,5050,5081,5160
0,1,2,4,33,5046,5163,5068,5119,5136
0,1,1,4,105,5095,5074,5077,5117,5203
0,0,1,1,48,5050,5121,5089,5073,5133
0,1,1,3,119,5081,5103,5077,5103,5135
0,0,0,1,427,2896,5197,5060,5072,5090
1,1,0,4,44,4965,5065,5086,5128,5137
0,0,0,8,567,5087,5211,4198,5070,5122
0,0,1,3,149,5113,5072,4097,5092,5130
0,0,1,2,141,2610,5121,5072,5134,5176
0,0,1,2,48,2529,5084,5047,5102,5046
0,0,1,8,436,4412,5104,5144,5093,5166
0,1,1,38,562,5089,5119,5079,5083,5144
0,1,1,7,96,5109,4120,5042,5090,5159
0,0,1,9,127,5086,5117,5055,5098,5138
0,0,1,5,118,5089,5108,5070,5116,5215
0,1,1,2,119,5104,5072,5058,5065,5125
0,0,1,2,384,5074,5129,4035,5060,5150
1,0,1,1,140,5070,5107,5064,5048,5130
0,1,1,3,140,5046,5220,5053,5092,5128
0,0,2,11,82,2869,4525,5067,5121,5146
