noWeights,primeWeights,twoWeights,tenWeights
1073,13703,4692,
94,8582,1185,
136,25825,3312,
0,16632,861,
1350,12305,6233,
0,9464,1100,
2,6985,439,
374,14864,4474,
89,23858,2284,
9,3962,402,
48,6111,296,
1,6230,405,
63,7311,814,
202,10490,2077,
9,16468,1329,
32,19303,822,
167,7850,995,
6,6714,266,
165,6119,1244,
38,8099,1306,
2542,31316,8393,
337,11284,2508,
178,8580,1132,
213,13961,4780,
80,30653,7921,
11,24876,1525,
413,32958,5304,
40,14038,1741,
125,53902,10488,
55,13205,1114,
219,18682,3326,
143,35233,6838,
42,7219,395,
4,7901,1428,
0,28635,248,
136,7548,1259,
2,7012,237,
386,20231,5322,
5,11906,757,
1140,19729,5196,
68,14070,1289,
161,9336,990,
146,11332,2106,
7,21646,2613,
272,28637,6967,
380,19234,3966,
19,5767,344,
6,8904,519,
162,12018,2081,
214,26952,7577,
0,3655,197,
44,11478,484,
6,10425,724,
51,12390,2495,
64,9096,1513,
48,11240,2470,
299,13989,3267,
110,16075,1834,
158,5326,678,
84,9688,1394,
17,10162,1529,
9,27146,3670,
0,6547,180,
1,23628,310,
27,20504,1273,
49,11402,596,
19,11822,570,
30,10540,1094,
126,9623,870,
93,10651,1026,
256,11164,2531,
4,7199,783,
36,9487,655,
272,15586,3070,
415,32228,5889,
0,10880,463,
451,47770,7519,
54,15216,2645,
1184,17128,5740,
20,18387,2035,
140,21324,5074,
299,10793,1724,
88,15835,1888,
0,13236,287,
0,7552,785,
0,9625,88,
470,24285,3785,
176,19014,3250,
84,12323,1001,
270,10970,2275,
20,18206,1778,
109,13091,1435,
81,15886,2113,
2,3932,307,
19,16350,483,
14,8412,1788,
166,5829,1294,
53,10704,2720,
56,10545,2457,
42,15005,1966,
